"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","771.38","772.41","772.88","768.69","145.77M","0.35%"
"01/11/2024","768.72","768.27","769.30","763.69","162.78M","-0.02%"
"01/10/2024","768.87","769.49","773.03","766.61","168.93M","-0.13%"
"01/09/2024","769.84","764.69","769.84","762.65","171.09M","0.24%"
"01/08/2024","767.99","763.24","768.18","762.36","181.94M","0.71%"
"01/05/2024","762.55","765.22","767.05","757.72","169.83M","-0.24%"
"01/04/2024","764.40","764.60","769.37","763.25","224.51M","-0.15%"
"01/03/2024","765.53","772.26","773.32","764.36","195.31M","-0.71%"
"01/02/2024","771.02","760.66","772.16","759.83","210.19M","1.14%"
"12/29/2023","762.32","760.25","762.96","759.35","121.81M","0.16%"
"12/28/2023","761.08","760.06","762.17","758.85","109.11M","0.03%"
"12/27/2023","760.86","757.12","761.01","756.97","116.85M","0.44%"
"12/26/2023","757.50","753.19","759.28","753.08","102.35M","0.44%"
"12/22/2023","754.16","750.55","755.85","749.87","116.96M","0.69%"
"12/21/2023","749.01","747.10","749.25","742.82","145.21M","0.69%"
"12/20/2023","743.89","753.07","755.03","743.63","194.92M","-2.02%"
"12/19/2023","759.22","757.13","759.64","755.75","199.73M","0.22%"
"12/18/2023","757.52","752.69","760.37","751.52","176.59M","1.08%"
"12/15/2023","749.43","748.49","751.68","746.78","440.70M","0.00%"
"12/14/2023","749.45","760.93","761.97","748.94","243.73M","-1.49%"
"12/13/2023","760.76","747.69","760.76","745.46","199.84M","1.82%"
"12/12/2023","747.17","746.63","747.27","743.25","160.46M","0.31%"
"12/11/2023","744.87","742.30","745.14","740.67","178.24M","0.97%"
"12/08/2023","737.75","741.75","741.81","736.46","166.58M","-0.65%"
"12/07/2023","742.59","742.01","744.87","739.14","228.80M","0.32%"
"12/06/2023","740.20","740.76","741.77","736.89","201.75M","-0.23%"
"12/05/2023","741.87","747.39","748.30","741.19","157.45M","-0.79%"
"12/04/2023","747.79","744.61","750.31","744.61","175.28M","0.10%"
"12/01/2023","747.05","744.25","747.27","741.57","167.29M","0.37%"
"11/30/2023","744.26","737.66","744.52","732.99","299.74M","0.83%"
"11/29/2023","738.13","744.62","744.62","737.37","164.56M","-0.81%"
"11/28/2023","744.14","741.04","746.30","740.92","167.54M","0.40%"
"11/27/2023","741.16","743.17","743.74","740.63","170.64M","-0.24%"
"11/24/2023","742.94","741.50","743.58","741.11","68.51M","0.38%"
"11/22/2023","740.11","737.16","740.59","736.71","141.87M","0.71%"
"11/21/2023","734.90","733.41","735.38","729.45","159.85M","0.35%"
"11/20/2023","732.32","731.04","733.68","729.39","158.38M","-0.01%"
"11/17/2023","732.38","734.56","734.56","730.20","179.01M","-0.18%"
"11/16/2023","733.69","735.50","737.97","732.24","215.45M","-1.20%"
"11/15/2023","742.58","741.76","743.80","740.26","200.72M","0.70%"
"11/14/2023","737.43","733.95","739.61","733.65","179.50M","0.89%"
"11/13/2023","730.89","727.88","732.64","727.86","156.33M","0.37%"
"11/10/2023","728.23","725.57","729.03","721.04","157.75M","0.66%"
"11/09/2023","723.45","727.60","727.62","721.73","148.87M","-0.40%"
"11/08/2023","726.37","730.68","731.86","724.49","156.89M","-0.42%"
"11/07/2023","729.45","728.07","732.29","727.01","134.37M","0.21%"
"11/06/2023","727.93","726.49","730.61","726.30","149.76M","0.17%"
"11/03/2023","726.66","731.14","732.61","726.32","167.82M","0.09%"
"11/02/2023","725.98","718.37","726.80","716.21","179.75M","1.26%"
"11/01/2023","716.98","718.46","719.58","713.14","200.21M","-0.06%"
"10/31/2023","717.39","716.00","718.06","712.02","258.09M","0.37%"
"10/30/2023","714.73","707.51","716.08","707.29","187.96M","1.55%"
"10/27/2023","703.80","712.66","714.49","701.73","202.65M","-1.36%"
"10/26/2023","713.48","718.80","720.72","713.27","232.65M","-0.63%"
"10/25/2023","717.99","714.76","721.00","712.67","182.91M","0.33%"
"10/24/2023","715.66","710.99","716.86","710.77","183.78M","0.96%"
"10/23/2023","708.88","709.37","714.03","707.20","176.84M","-0.27%"
"10/20/2023","710.82","715.31","717.85","710.73","179.50M","-0.38%"
"10/19/2023","713.52","719.00","720.40","712.85","173.88M","-0.77%"
"10/18/2023","719.09","719.65","724.12","717.64","166.31M","0.39%"
"10/17/2023","716.29","710.89","717.38","710.80","170.66M","0.51%"
"10/16/2023","712.68","710.04","715.16","707.16","169.51M","0.98%"
"10/13/2023","705.78","700.65","706.95","700.06","194.38M","0.84%"
"10/12/2023","699.88","709.48","709.54","697.57","235.50M","-1.15%"
"10/11/2023","708.01","714.66","716.61","704.35","177.06M","-0.64%"
"10/10/2023","712.57","710.02","715.94","708.83","192.57M","1.08%"
"10/09/2023","704.98","702.72","704.98","696.47","172.54M","0.07%"
"10/06/2023","704.51","704.20","706.69","688.51","263.59M","-0.48%"
"10/05/2023","707.91","721.91","721.99","707.45","208.08M","-2.07%"
"10/04/2023","722.87","719.37","723.32","715.14","165.08M","0.73%"
"10/03/2023","717.62","720.74","724.09","716.62","181.98M","-0.70%"
"10/02/2023","722.67","726.35","726.75","717.77","191.41M","-0.64%"
"09/29/2023","727.36","732.21","732.93","723.50","182.47M","-0.25%"
"09/28/2023","729.21","728.87","731.23","726.27","169.03M","0.25%"
"09/27/2023","727.42","731.72","734.49","723.75","179.44M","-0.77%"
"09/26/2023","733.06","736.86","737.76","732.67","161.00M","-0.90%"
"09/25/2023","739.72","741.23","741.67","736.30","132.60M","-0.43%"
"09/22/2023","742.89","746.83","748.31","742.24","159.52M","-0.47%"
"09/21/2023","746.41","755.47","756.09","746.22","172.43M","-1.31%"
"09/20/2023","756.31","757.29","761.03","753.93","138.50M","0.15%"
"09/19/2023","755.14","756.34","756.55","751.44","154.62M","-0.25%"
"09/18/2023","757.03","759.04","759.04","753.52","149.70M","0.08%"
"09/15/2023","756.39","761.42","763.80","756.11","384.64M","-0.82%"
"09/14/2023","762.61","757.45","763.33","757.07","165.45M","0.82%"
"09/13/2023","756.43","755.30","758.36","753.78","168.78M","0.26%"
"09/12/2023","754.50","760.51","760.91","753.43","173.47M","-0.71%"
"09/11/2023","759.88","755.64","760.65","755.19","197.47M","0.83%"
"09/08/2023","753.62","752.16","753.69","750.72","199.39M","0.16%"
