Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AKAM,"Akamai Technologies",+37.30,115.62,-0.45999999999999,-0.40%,120.61,70.65,+30.95%,"10:09 ET"
ALB,"Albemarle Corp",-47.60,129.06,-3.88,-2.92%,293.01,112,-44.74%,"10:09 ET"
ALGN,"Align Technology",+18.50,275.72,-1.07,-0.39%,413.2,176.34,+19.17%,"10:09 ET"
ALL,"Allstate Corp",+22.60,149.32,-0.99000000000001,-0.66%,152,100.57,+7.99%,"10:09 ET"
ALLE,"Allegion Plc",+12.10,120.65,-1.45,-1.19%,128.43,95.94,+6.34%,"10:09 ET"
AMAT,"Applied Materials",+34.30,150.02,0.21000000000001,+0.14%,165.01,106.09,+37.62%,"10:09 ET"
AMCR,"Amcor Plc",-15.40,9.69,-0.07,-0.72%,12.31,8.45,-20.20%,"10:09 ET"
AMD,"Adv Micro Devices",+111.20,145.7,-2.84,-1.91%,151.05,67.18,+114.13%,"10:09 ET"
AME,"Ametek Inc",+15.30,163.79,0.10999999999999,+0.07%,165.52,131.52,+12.65%,"10:08 ET"
AMGN,"Amgen Inc",+22.20,301.41,-3.16,-1.04%,311.05,211.71,+10.81%,"10:09 ET"
AMP,"Ameriprise Financial Services",+19.00,374.73,-3.26,-0.86%,386.33,275.09,+14.12%,"10:08 ET"
AMT,"American Tower Corp",-2.60,206.6,-2.37,-1.13%,235.57,154.58,-9.27%,"10:09 ET"
AMZN,"Amazon.com Inc",+60.50,154.57,0.84,+0.55%,157.16,88.12,+63.02%,"10:09 ET"
ANET,"Arista Networks Inc",+116.60,248.07,-1.16,-0.47%,251.51,107.57,+114.90%,"10:09 ET"
ANSS,"Ansys Inc",+35.70,351.5,-3.36,-0.95%,364.31,248,+39.83%,"10:08 ET"
AON,"AON Plc",-8.80,296.87,-2.43,-0.81%,347.37,280.89,-4.61%,"10:09 ET"
AOS,"Smith A.O. Corp",+31.50,80.15,-0.33,-0.41%,82.77,57.45,+28.59%,"10:09 ET"
APA,"Apa Corp",-27.40,32.46,-0.11,-0.34%,46.98,30.67,-25.33%,"10:09 ET"
APD,"Air Products and Chemicals",-14.30,263.85,-3.11,-1.16%,320.9,251.63,-15.35%,"10:09 ET"
APH,"Amphenol Corp",+24.20,95.6,-0.61,-0.63%,99.93,72,+19.04%,"10:09 ET"
APTV,"Aptiv Plc",-22.30,82.25,-0.67,-0.81%,124.88,71.01,-16.66%,"10:09 ET"
ARE,"Alexandria Real Estate Equities",-7.90,126.33,-2.8,-2.17%,172.65,90.73,-17.18%,"10:09 ET"
ATO,"Atmos Energy Corp",+3.30,116.36,-1.68,-1.42%,125.28,101,+0.44%,"10:09 ET"
AVB,"Avalonbay Communities",+7.80,182.42,-1.29,-0.70%,198.65,153.07,+7.38%,"10:08 ET"
AVGO,"Broadcom Ltd",+88.80,1076.02,-4.55,-0.42%,1151.82,559.11,+88.05%,"10:09 ET"
AVY,"Avery Dennison Corp",+5.50,194.7,-1.38,-0.70%,203.7,158.93,+1.48%,"10:07 ET"
AWK,"American Water Works",-13.60,132.13,-1.49,-1.12%,162.59,114.25,-17.47%,"10:09 ET"
AXON,"Axon Enterprise Inc",+37.60,248.02,-1,-0.40%,260.69,168.3,+38.03%,"10:08 ET"
AXP,"American Express Company",+21.60,182.33,-2.64,-1.43%,189.51,140.91,+19.26%,"10:09 ET"
AZO,Autozone,+5.10,2535.93,-1.23,-0.05%,2750,2277.88,+3.94%,"10:09 ET"
BA,"Boeing Company",+7.50,224.04,-3.8,-1.67%,267.54,176.25,+8.18%,"10:09 ET"
BAC,"Bank of America Corp",+3.50,32.88,-0.72,-2.14%,37,24.96,-3.49%,"10:09 ET"
BALL,"Ball Corporation",+3.40,56.5,-0.8,-1.40%,62.14,42.81,+0.20%,"10:08 ET"
BAX,"Baxter International Inc",-6.90,40.17,-0.12,-0.30%,50.21,31.01,-11.40%,"10:09 ET"
BBWI,"Bath & Body Works Inc",+6.60,43.14,-0.99,-2.24%,49.55,27.3,-6.38%,"10:09 ET"
BBY,"Best Buy Company",-8.60,74.15,-1.62,-2.14%,93.32,62.3,-12.79%,"10:09 ET"
BDX,"Becton Dickinson and Company",-10.60,236.91,-1.5,-0.63%,287.32,228.62,-7.84%,"10:09 ET"
BEN,"Franklin Resources",+3.20,28.46,-0.62,-2.13%,34.37,21.88,-2.17%,"10:09 ET"
BF.B,"Brown Forman Inc Cl B",-20.20,54.52,-1.07,-1.92%,71.27,52.59,-16.95%,"10:09 ET"
BG,"Bunge Ltd",-8.60,94.6,-0.31,-0.33%,116.59,87.86,-3.61%,"10:08 ET"
BIIB,"Biogen Inc",-15.60,246.76,-7.47,-2.94%,319.76,220.86,-12.70%,"10:07 ET"
BIO,"Bio-Rad Laboratories",-30.20,318.31,-2.45,-0.76%,509.62,261.59,-30.48%,"10:09 ET"
BK,"Bank of New York Mellon Corp",+15.80,52.27,-0.45999999999999,-0.87%,53.18,39.65,+8.72%,"10:09 ET"
BKNG,"Booking Holdings Inc",+54.00,3492.01,-29.14,-0.83%,3580.62,2214.65,+57.73%,"10:06 ET"
BKR,"Baker Hughes Company",-3.10,31.17,-0.059999999999999,-0.19%,37.58,26.12,+1.54%,"10:09 ET"
BLDR,"Builders Firstsource",+124.70,164.07,-3.23,-1.93%,171.03,67.6,+142.45%,"10:09 ET"
BLK,"Blackrock Inc",+13.90,787.56,-4.8000000000001,-0.61%,819,596.18,+5.17%,"10:09 ET"
BMY,"Bristol-Myers Squibb Company",-31.30,50.26,-0.4,-0.79%,75.18,48.25,-29.94%,"10:09 ET"
BR,"Broadridge Financial Solutions Llc",+43.10,201.41,-0.56,-0.28%,207.29,133.97,+40.42%,"10:09 ET"
BRK.B,"Berkshire Hathaway Cl B",+16.30,364.96,-2.96,-0.80%,373.34,292.42,+14.12%,"10:09 ET"
BRO,"Brown & Brown",+18.90,72.59,-0.34999999999999,-0.48%,76.25,52.82,+17.74%,"10:09 ET"
BSX,"Boston Scientific Corp",+30.80,59.61,0.1,+0.17%,59.94,44.79,+30.46%,"10:09 ET"
BWA,"Borgwarner Inc",-28.00,33.59,-0.3,-0.89%,51.14,31.63,-22.22%,"10:09 ET"
BX,"Blackstone Inc",+45.20,119.11,-2.42,-1.99%,133.53,76.19,+44.41%,"10:09 ET"
BXP,"Boston Properties",+12.70,70.58,-1.49,-2.07%,79.42,46.18,+1.41%,"10:09 ET"
C,"Citigroup Inc",+11.00,51.28,-1.74,-3.28%,54.75,38.17,+5.91%,"10:09 ET"
CAG,"Conagra Brands Inc",-24.70,28.96,-0.27,-0.92%,40.65,25.16,-28.34%,"10:09 ET"
CAH,"Cardinal Health",+37.90,105.08,0.89,+0.85%,108.85,68.53,+37.18%,"10:09 ET"
CARR,"Carrier Global Corp",+26.70,56.28,-0.76,-1.33%,60.04,40.28,+25.87%,"10:09 ET"
CAT,"Caterpillar Inc",+22.60,290.29,-3.06,-1.04%,299.2,204.04,+17.46%,"10:09 ET"
CB,"Chubb Ltd",+5.80,225.81,0.56,+0.25%,231.37,183.4,+0.34%,"10:09 ET"
CBOE,"CBOE Global Markets Inc",+42.80,176.33,0.72,+0.41%,183.74,116.11,+42.72%,"10:09 ET"
CBRE,"CBRE Group Inc",+4.90,84.43,-2.22,-2.56%,94.27,64.63,+0.38%,"10:09 ET"
CCI,"Crown Castle Inc",-17.60,112.04,-1.37,-1.21%,153.98,84.72,-25.82%,"10:07 ET"
CCL,"Carnival Corp",+68.50,17.26,-0.52,-2.92%,19.74,8.37,+77.08%,"10:09 ET"
CDAY,"Ceridian Hcm Holding Inc",-5.30,64.38,-0.96000000000001,-1.47%,79.66,55.62,-1.19%,"10:08 ET"
CDNS,"Cadence Design Sys",+50.10,264.78,1.52,+0.58%,279.33,164.85,+57.39%,"10:09 ET"
CDW,"CDW Corp",+17.60,219.44,-0.83000000000001,-0.38%,229.42,160.66,+15.51%,"10:09 ET"
CE,"Celanese Corp",+32.60,146.58,-2.41,-1.62%,159.06,97.12,+24.09%,"10:09 ET"
CEG,"Constellation Energy Corp",+34.60,111.84,-4.01,-3.46%,127.24,71.16,+33.99%,"10:09 ET"
CF,"Cf Industries Holdings",-6.20,78.43,0.35000000000001,+0.45%,91.23,60.08,-6.41%,"10:09 ET"
CFG,"Citizens Financial Group Inc/Ri",-8.20,32.45,-0.91999999999999,-2.76%,44.82,22.77,-21.08%,"10:09 ET"
CHD,"Church & Dwight Company",+15.60,97.13,0.64999999999999,+0.67%,100.52,78.63,+18.14%,"10:09 ET"
CHRW,"C.H. Robinson Ww",-7.50,86.57,-0.62,-0.71%,108.05,78.69,-8.56%,"10:07 ET"
CHTR,"Charter Communications Inc",-7.30,364.74,-2.26,-0.62%,458.3,315.02,-3.24%,"10:09 ET"
CI,"The Cigna Group",+3.70,306.61,-1.11,-0.36%,319.92,240.5,-0.81%,"10:09 ET"
CINF,"Cincinnati Financial",+1.40,107.73,0.31,+0.29%,130.66,95.01,-1.94%,"10:08 ET"
CL,"Colgate-Palmolive Company",+6.60,80.38,-0.17,-0.21%,82.09,67.62,+4.01%,"10:09 ET"
CLX,"Clorox Company",-5.80,140.99,-0.38,-0.27%,178.21,114.68,-0.75%,"10:09 ET"
CMA,"Comerica Inc",+2.20,54.15,-1.4,-2.52%,77.34,28.4,-19.53%,"10:09 ET"
CMCSA,"Comcast Corp A",+10.10,43.15,-0.33,-0.76%,47.46,34.63,+13.85%,"10:09 ET"
CME,"CME Group Inc",+7.90,196.17,-1.66,-0.84%,223.8,171.93,+11.90%,"10:09 ET"
CMG,"Chipotle Mexican Grill",+46.30,2233.86,-11.14,-0.50%,2348.42,1470.05,+52.14%,"10:08 ET"
CMI,"Cummins Inc",-1.10,237.08,-2.14,-0.89%,265.28,203.18,-4.29%,"10:08 ET"
CMS,"Cms Energy Corp",-4.90,58.28,-1.22,-2.05%,65.56,49.87,-10.15%,"10:09 ET"
CNC,"Centene Corp",+10.30,78.46,0.049999999999997,+0.06%,79.07,60.83,-0.09%,"10:09 ET"
CNP,"Centerpoint Energy Inc",-4.20,28.7,-0.55,-1.88%,31.47,25.42,-7.09%,"10:09 ET"
COF,"Capital One Financial Corp",+32.40,126.87,-2.07,-1.61%,134.26,83.93,+25.26%,"10:09 ET"
COO,"Cooper Companies",+12.30,383.33,-1.54,-0.40%,399.62,303.74,+9.54%,"10:05 ET"
COP,Conocophillips,-5.40,111.04,-0.14,-0.13%,127.35,91.53,-5.75%,"10:09 ET"
COR,"Cencora Inc",+37.70,217.86,1.73,+0.80%,217.82,147.48,+31.63%,"10:09 ET"
COST,"Costco Wholesale",+43.87,669.7,-3.0599999999999,-0.45%,681.91,465.33,+38.47%,"10:09 ET"
CPB,"Campbell Soup Company",-17.35,43.69,-0.030000000000001,-0.07%,56.04,37.94,-21.45%,"10:09 ET"
CPRT,"Copart Inc",+44.21,47.74,-0.19,-0.40%,51.53,30.51,+53.77%,"10:09 ET"
CPT,"Camden Property Trust",-14.74,98.23,-0.3,-0.30%,127.6,82.81,-16.97%,"10:09 ET"
CRL,"Charles River Laboratories Intl",-4.23,211.33,-1.81,-0.85%,262,161.65,-14.06%,"10:07 ET"
CRM,"Salesforce Inc",+74.94,265.55,1.42,+0.54%,269.79,143.16,+83.84%,"10:09 ET"
CSCO,"Cisco Systems Inc",+1.37,50.38,0.14,+0.28%,58.19,45.56,+2.46%,"10:09 ET"
CSGP,"Costar Group Inc",+2.50,81.2,-1.51,-1.83%,92.36,65.12,+1.24%,"10:08 ET"
CSX,"CSX Corp",+11.00,34.39,-0.31,-0.89%,35.09,27.6,+6.43%,"10:09 ET"
CTAS,"Cintas Corp",+34.97,588.24,1.22,+0.21%,607.79,423.06,+29.35%,"10:07 ET"
CTLT,"Catalent Inc",+29.22,49.71,-0.65,-1.29%,74.49,31.45,+0.84%,"10:09 ET"
CTRA,"Coterra Energy Inc",-1.23,25.21,-0.16,-0.63%,29.89,22.25,+2.61%,"10:09 ET"
CTSH,"Cognizant Tech Sol",+18.57,73.64,0.29000000000001,+0.40%,76.85,56.45,+20.29%,"10:09 ET"
CTVA,"Corteva Inc",-26.44,46.15,0.1,+0.22%,65.21,43.22,-25.25%,"10:09 ET"
CVS,"CVS Corp",-3.58,78.86,-0.38,-0.48%,90.62,64.41,-12.01%,"10:09 ET"
CVX,"Chevron Corp",-18.06,144.87,0.37,+0.26%,187.81,140.72,-17.14%,"10:09 ET"
CZR,"Caesars Entertainment Inc",-8.97,44.29,-1.07,-2.36%,60.27,38.33,-2.25%,"10:09 ET"
D,"Dominion Energy Inc",-20.86,47.02,-0.91,-1.90%,63.68,39.18,-23.92%,"10:09 ET"
DAL,"Delta Air Lines Inc",+13.12,41.62,-0.49,-1.16%,49.81,30.6,+9.76%,"10:09 ET"
DD,"Dupont Denemours Inc",+3.93,75.48,-0.7,-0.92%,78.74,62.8,+1.28%,"10:09 ET"
DE,"Deere & Company",-6.65,393.59,-0.12,-0.03%,450,345.55,-8.86%,"10:09 ET"
DFS,"Discover Financial Services",+8.87,109.26,-1.77,-1.59%,122.5,79.04,+2.69%,"10:09 ET"
DG,"Dollar General Corp",-39.11,133,-1.06,-0.79%,239.71,101.09,-43.60%,"10:08 ET"
DGX,"Quest Diagnostics Inc",-4.47,136.28,-0.81999999999999,-0.60%,153.82,119.59,-10.52%,"10:09 ET"
DHI,"D.R. Horton",+71.76,153.85,-0.67000000000002,-0.43%,156.77,89.05,+62.20%,"10:09 ET"
DHR,"Danaher Corp",-0.90,228.13,-1.51,-0.66%,247.62,182.09,-5.73%,"10:09 ET"
DIS,"Walt Disney Company",-8.33,89.03,-0.26000000000001,-0.29%,118.18,78.73,-7.36%,"10:09 ET"
DLR,"Digital Realty Trust",+31.93,135.3,-1.23,-0.90%,139.35,86.33,+29.27%,"10:09 ET"
DLTR,"Dollar Tree Inc",-2.95,135.89,-1.73,-1.26%,161.1,102.77,-7.45%,"10:09 ET"
DOV,"Dover Corp",+3.18,146.89,-0.28,-0.19%,160.66,127.25,+3.65%,"10:09 ET"
DOW,"Dow Inc",-6.66,52.78,-0.6,-1.12%,60.88,47.26,-7.68%,"10:09 ET"
DPZ,"Domino's Pizza Inc",+27.05,410.26,-3.87,-0.93%,415.81,285.84,+17.68%,"10:08 ET"
DRI,"Darden Restaurants",+5.98,157.77,-3.27,-2.03%,173.06,133.36,+5.97%,"10:07 ET"
DTE,"Dte Energy Company",-3.50,108.98,-1.85,-1.67%,121.25,90.14,-9.09%,"10:09 ET"
DUK,"Duke Energy Corp",-0.44,98.1,-1.18,-1.19%,106.13,83.06,-6.66%,"10:09 ET"
DVA,"Davita Healthcare Partners Inc",+39.02,108.58,-1.06,-0.97%,116.97,71.51,+37.15%,"10:09 ET"
DVN,"Devon Energy Corp",-28.68,43.49,-0.45,-1.02%,66.96,42.59,-30.34%,"10:09 ET"
DXCM,"Dexcom Inc",+23.50,127.66,-0.34,-0.27%,139.55,74.75,+20.74%,"10:08 ET"
EA,"Electronic Arts Inc",+13.12,137.21,-0.41999999999999,-0.31%,143.47,108.53,+9.12%,"10:09 ET"
EBAY,"Ebay Inc",-8.61,41.75,-0.81,-1.90%,52.23,37.17,-9.72%,"10:09 ET"
ECL,"Ecolab Inc",+28.25,197.48,0.090000000000003,+0.05%,201.62,143.91,+27.76%,"10:08 ET"
ED,"Consolidated Edison Company",-1.32,92.6,-1.72,-1.82%,100.92,80.46,-5.44%,"10:09 ET"
EFX,"Equifax Inc",+20.14,240.79,-4.04,-1.65%,252.6,159.95,+13.52%,"10:08 ET"
EG,"Everest Re Group",+3.60,371.32,0.81999999999999,+0.22%,417.92,331.08,+4.94%,"10:08 ET"
EIX,"Edison International",+7.02,71.32,-1.01,-1.40%,74.92,58.82,+3.36%,"10:09 ET"
EL,"Estee Lauder Companies",-47.69,134.16,-1.51,-1.11%,283.62,102.22,-48.93%,"10:09 ET"
ELV,"Elevance Health Inc",+1.51,478.45,-1.79,-0.37%,508.78,412,-0.73%,"10:09 ET"
EMN,"Eastman Chemical Company",+0.48,86.54,-1.21,-1.38%,92.21,68.89,-4.91%,"10:09 ET"
EMR,"Emerson Electric Company",+0.54,93.95,-0.81999999999999,-0.87%,100.62,76.94,-4.04%,"10:09 ET"
ENPH,"Enphase Energy Inc",-46.35,111.63,-5.91,-5.03%,260.98,73.49,-52.05%,"10:09 ET"
EOG,"Eog Resources",-11.04,114.57,-0.42,-0.37%,137.95,98.52,-9.22%,"10:09 ET"
EPAM,"Epam Systems Inc",-1.26,297.06,-2.58,-0.86%,385.96,197.99,-11.62%,"10:07 ET"
EQIX,"Equinix Inc",+12.51,801.32,-3.0699999999999,-0.38%,824.86,661.66,+12.30%,"10:06 ET"
EQR,"Equity Residential",+0.99,61.39,-0.32,-0.52%,69.45,52.57,+0.03%,"10:08 ET"
EQT,"Eqt Corp",+2.79,37.05,-0.66,-1.75%,45.23,28.1,+11.38%,"10:09 ET"
ES,"Eversource Energy",-30.77,57.07,-1.29,-2.21%,86.23,52.03,-33.05%,"10:09 ET"
ESS,"Essex Property Trust",+16.37,246.74,-1.14,-0.46%,252.85,195.03,+11.24%,"10:08 ET"
ETN,"Eaton Corp",+47.52,239.91,-0.97999999999999,-0.41%,242.41,150.86,+46.49%,"10:07 ET"
