,Cnsmr,Manuf,HiTec,Hlth ,Other
192607,   5.43,   2.73,   1.83,   1.77,   2.13
192608,   2.76,   2.33,   2.41,   4.25,   4.35
192609,   2.16,  -0.44,   1.06,   0.69,   0.29
192610,  -3.90,  -2.42,  -2.26,  -0.57,  -2.84
192611,   3.70,   2.50,   3.07,   5.42,   2.11
192612,   3.62,   2.76,   1.03,   0.11,   3.47
192701,  -1.19,   0.15,   0.46,   5.05,   1.50
192702,   5.28,   4.00,   4.19,   1.71,   5.05
192703,   1.64,  -1.43,   3.65,   1.01,   1.22
192704,   3.52,  -1.13,   1.35,   2.74,   0.83
192705,   6.09,   5.67,   5.28,   4.12,   6.54
192706,  -1.95,  -3.03,   0.51,   0.54,  -2.15
192707,   8.69,   7.51,   7.59,   9.84,   6.04
192708,   5.23,   1.97,   2.94,   0.28,  -1.03
192709,   5.89,   4.90,   3.93,   5.65,   4.59
192710,  -3.00,  -4.70,  -4.54,   5.13,  -3.82
192711,   7.74,   7.70,   6.52,   3.68,   4.50
192712,   3.60,   2.20,   1.28,  -0.46,   1.96
192801,  -1.21,   0.18,  -0.03,   2.69,  -1.01
192802,  -1.53,  -1.11,  -0.38,  -1.38,  -2.02
192803,  13.86,   6.96,  10.32,  10.54,   6.04
192804,   0.43,   7.69,   2.70,   2.35,   4.31
192805,   3.50,   0.10,   4.36,   9.27,   0.00
192806,  -4.05,  -4.35,  -5.12,  -3.15,  -4.29
192807,   2.20,   1.03,  -0.29,   2.39,  -0.35
192808,   8.99,   6.28,   7.23,  14.57,   4.75
192809,   3.66,   4.44,   0.42,  -1.14,   1.01
192810,   1.69,   2.39,   2.38,   0.05,  -0.43
192811,   7.80,  16.03,  13.46,   5.05,   9.96
192812,  -1.01,   0.51,   3.78,  -0.41,   0.40
192901,   0.68,   6.04,  11.70,   3.43,   5.56
192902,  -1.51,   1.35,  -0.90,   0.05,   0.02
192903,  -3.62,   1.09,   4.41,  -1.50,  -2.17
192904,   1.10,   2.44,   2.48,   1.48,   0.46
192905,  -9.68,  -5.66,  -3.68,  -7.84,  -0.01
192906,   7.03,  12.44,  15.73,   4.52,   5.75
