,Cnsmr,Manuf,HiTec,Hlth ,Other
195604,  -2.61,   1.43,  -0.33,   2.76,   0.89
195605,  -4.12,  -5.51,  -3.44,  -1.23,  -5.41
195606,   3.94,   3.68,   4.50,   3.60,   1.56
195607,   3.72,   5.92,   4.11,   3.09,   2.41
195608,  -0.59,  -3.67,  -2.60,  -3.07,  -3.59
195609,  -2.50,  -5.67,  -5.06,  -3.68,  -4.40
195610,  -0.10,   0.91,   1.14,   0.58,   1.11
195611,  -2.30,   1.33,   1.06,  -1.30,   0.22
195612,   0.77,   4.19,   3.60,   6.06,   2.02
195701,  -2.82,  -4.11,  -1.89,  -2.27,  -0.54
195702,  -1.51,  -2.22,  -0.20,  -0.35,  -2.56
195703,   1.19,   2.35,   3.26,   8.22,   2.31
195704,   4.20,   4.70,   4.78,   5.43,   3.16
195705,   1.48,   4.54,   3.72,   4.79,   1.36
195706,  -0.58,  -1.18,   2.14,   6.46,  -1.11
195707,   2.67,   0.58,   0.52,   2.60,   1.13
195708,  -2.69,  -5.54,  -4.14,  -2.98,  -5.45
195709,  -3.69,  -6.51,  -4.55,  -3.04,  -6.67
195710,  -3.40,  -4.46,  -1.92,  -0.68,  -6.88
195711,  -1.05,   3.20,   4.25,   8.58,   0.33
195712,  -3.79,  -4.25,  -1.29,  -0.48,  -4.39
195801,   6.39,   4.31,   4.13,  -0.41,  11.04
195802,   0.41,  -2.26,  -0.62,   4.95,  -1.79
195803,   3.65,   3.60,   1.97,   8.17,   2.51
195804,   3.99,   3.28,   1.13,   6.55,   4.52
195805,   3.80,   2.06,   1.77,   1.44,   3.74
195806,   2.51,   3.17,   2.74,   3.55,   2.87
195807,   5.17,   4.64,   2.48,   5.97,   5.28
195808,   2.31,   1.67,   2.22,   1.98,   3.01
195809,   6.66,   3.97,   5.69,  11.72,   4.42
195810,   2.10,   2.72,   3.18,   1.05,   3.75
195811,   3.48,   2.62,   3.40,   8.03,   4.63
195812,   3.44,   4.13,  13.18,   4.61,   3.08
195901,   1.63,   0.79,   0.36,  -0.62,   2.09
195902,   0.84,  -0.04,   5.03,   3.86,   1.75
195903,  -0.80,   0.74,   1.12,   4.25,  -0.71
195904,   5.22,   2.54,   6.80,  11.92,   1.96
195905,   3.29,   1.79,   2.37,  -1.07,   0.63
195906,   1.17,  -0.38,  -1.01,   6.59,   1.42
195907,   5.21,   4.06,   0.51,   4.73,   0.25
195908,   1.08,  -1.67,  -1.20,  -3.57,  -2.21
195909,  -3.46,  -5.35,  -2.81,  -4.96,  -4.14
195910,   0.92,   1.26,   3.38,   2.34,   0.30
195911,   0.97,   1.22,   4.76,   5.62,  -0.50
195912,   3.20,   2.67,   3.78,  -1.67,   2.11
196001,  -7.19,  -7.09,  -5.48,  -6.38,  -4.52
196002,   1.22,  -0.08,   6.64,   0.31,  -0.02
196003,  -2.15,  -1.90,   0.98,   1.61,  -2.27
196004,  -0.12,  -2.76,  -0.16,   1.65,  -1.13
196005,   2.92,   1.61,   6.88,  13.72,   0.24
196006,   2.94,   2.92,   0.71,  -0.16,   2.86
196007,  -1.40,  -2.41,  -2.45,  -3.86,  -1.47
196008,   3.77,   2.83,   3.65,   2.46,   3.11
196009,  -5.57,  -5.06,  -7.50,  -8.71,  -5.73
196010,   0.24,   0.01,  -1.76,  -3.49,  -0.81
196011,   5.02,   4.24,   5.75,   4.04,   6.69
196012,   2.30,   4.79,   7.19,   6.22,   4.22
196101,   5.67,   7.06,   5.19,   6.05,   7.79
196102,   5.32,   3.63,   1.78,   5.20,   5.69
196103,   4.67,   1.65,   4.96,   3.80,   3.53
196104,  -0.95,   0.86,   0.63,  -0.30,   0.56
196105,   3.05,   2.96,   0.99,   2.28,   4.18
196106,  -0.91,  -3.00,  -3.65,  -3.38,  -3.79
196107,   3.74,   2.52,   3.99,   3.50,   1.27
196108,   3.44,   2.19,   2.41,   3.86,   5.23
196109,   1.55,  -3.63,  -1.18,  -1.23,  -1.83
196110,   3.99,   2.68,   1.89,   3.66,   2.32
196111,   6.66,   3.68,   5.49,   3.14,   3.82
196112,  -0.53,   0.01,   1.20,  -1.99,  -1.85
196201,  -4.92,  -2.40,  -5.50,  -4.78,  -1.44
196202,   0.05,   2.72,   1.95,   3.75,   1.72
196203,  -0.05,  -0.22,  -1.33,   0.41,  -1.77
196204,  -5.60,  -5.60,  -8.00, -11.33,  -7.08
196205,  -8.38,  -7.89,  -9.17, -10.78,  -7.85
196206,  -8.25,  -7.20, -10.02, -12.89,  -9.15
196207,   5.98,   5.69,   9.20,   7.78,   5.74
196208,   2.84,   2.41,   2.47,  -7.92,   3.87
196209,  -4.66,  -3.93,  -7.45,  -4.05,  -5.76
196210,  -0.64,   0.33,   1.34,   2.47,   0.57
196211,   9.80,  11.09,  10.74,  17.59,  14.77
196212,   1.84,   1.66,   0.45,   0.88,   1.40
196301,   6.08,   4.75,   4.88,   5.66,   5.24
196302,  -2.37,  -1.93,  -3.08,  -2.58,  -0.42
196303,   4.12,   3.78,   2.34,   1.18,   2.95
196304,   4.44,   4.53,   5.06,   7.62,   5.94
196305,   4.49,   1.18,   1.78,  -0.25,   3.58
196306,  -2.13,  -1.10,  -3.47,  -1.09,  -1.40
196307,  -0.42,   0.24,  -0.42,   0.57,  -1.59
196308,   6.00,   5.03,   4.61,   9.56,   5.44
196309,  -0.42,  -2.06,   1.49,  -4.07,  -3.18
196310,   5.96,   0.94,   5.31,   3.38,   1.39
196311,  -3.15,  -0.43,   2.38,  -1.65,   0.10
196312,   1.20,   2.83,   1.12,   1.53,   2.66
196401,   1.38,   3.07,   3.17,   3.70,   1.17
196402,   1.70,   1.82,   0.60,   1.65,   5.38
196403,   1.98,   2.05,   0.81,  -1.94,   2.34
196404,   1.35,   0.61,  -1.00,  -1.42,   0.29
196405,   2.07,   1.69,   0.86,   0.52,   2.38
196406,   1.73,   1.09,   2.99,   0.58,   1.31
196407,   3.42,   2.70,  -1.93,   4.76,   1.23
196408,   0.66,  -1.18,  -2.03,  -4.22,  -3.11
196409,   3.51,   3.62,  -0.17,   2.74,   3.99
196410,   0.52,   1.35,  -0.93,   2.86,   1.75
196411,   0.45,   0.81,  -1.43,   2.17,  -1.65
196412,   0.99,  -0.30,   1.86,   4.38,  -1.78
196501,   4.27,   3.53,   3.11,   7.66,   4.72
196502,   0.55,   0.26,   1.38,   2.42,   2.61
196503,   0.17,  -1.57,  -1.18,  -0.92,  -0.37
196504,   6.04,   2.37,   3.51,   2.97,   2.30
196505,  -1.73,  -0.22,   1.79,  -1.25,  -1.49
196506,  -6.18,  -4.45,  -4.82,  -5.31,  -6.99
196507,   1.17,   1.77,   1.28,   3.95,   3.34
196508,   3.34,   2.37,   3.26,   6.29,   5.11
196509,   3.28,   3.48,   2.92,   2.24,   1.76
196510,   3.78,   2.92,   1.07,   3.23,   4.13
196511,  -1.25,   0.70,  -1.03,   3.79,   4.08
196512,   1.38,   1.62,  -1.17,   3.84,   3.29
196601,  -0.11,   1.21,  -0.02,   2.74,   5.21
196602,  -1.26,  -2.18,   2.70,  -1.55,   2.07
196603,  -2.68,  -1.60,  -2.87,  -1.60,  -2.57
196604,   0.85,   2.62,   4.52,  -0.01,   3.03
196605,  -6.14,  -4.58,  -4.61,  -5.27,  -7.79
196606,  -2.01,  -1.50,   0.16,   0.99,   0.65
196607,  -2.01,  -0.77,  -1.45,  -1.71,  -1.94
196608,  -7.18,  -7.56,  -5.29,  -8.09, -11.86
196609,  -1.37,   0.07,  -1.27,  -1.15,  -1.91
196610,   1.28,   5.75,   4.54,   4.87,   3.02
196611,  -0.65,   0.74,   4.01,   6.90,   7.99
196612,  -2.03,   0.91,   1.62,  -0.18,   2.15
196701,  10.98,   7.25,   8.34,   6.45,  11.99
196702,   0.92,   0.28,   4.29,   1.40,  -0.32
196703,   3.71,   4.36,   4.35,   7.86,   4.42
196704,   8.44,   2.81,   4.43,   4.46,   2.15
196705,  -5.15,  -3.40,  -4.94,  -5.28,  -2.08
196706,   2.45,   1.54,   4.84,   5.41,   3.48
196707,   8.21,   5.09,  -0.38,   3.79,   7.89
196708,  -0.08,  -0.74,  -1.10,   0.65,  -0.28
196709,   3.75,   2.88,   5.62,   2.90,   1.30
196710,  -2.92,  -3.64,   1.79,  -5.02,  -5.13
196711,  -0.03,   1.10,   0.96,   1.33,  -0.43
196712,   2.25,   4.26,   1.44,   1.62,   5.54
196801,  -2.17,  -3.70,  -4.85,  -6.58,  -1.89
196802,  -2.08,  -3.31,  -3.79,  -4.24,  -3.48
196803,   1.22,  -0.02,   2.25,   0.11,  -0.28
196804,  11.62,   7.77,   8.77,  11.89,  11.98
196805,   2.42,   2.17,   2.29,   3.35,   6.23
196806,  -0.04,   1.75,   0.00,   2.23,   3.03
196807,  -3.86,  -0.60,  -3.79,  -4.12,  -2.80
196808,   2.02,   2.01,   0.80,   0.68,   2.86
196809,   6.35,   3.55,   2.95,   0.84,   9.31
196810,   2.34,   1.37,  -2.13,  -0.04,   1.08
196811,   2.81,   6.22,   7.44,   8.11,   7.69
196812,  -3.21,  -3.02,  -5.81,  -1.02,  -3.70
196901,  -1.37,  -0.22,  -2.63,  -0.23,   0.75
196902,  -4.72,  -5.29,  -3.51,  -5.16,  -8.35
196903,   3.60,   3.35,   3.31,   3.34,   0.74
196904,   1.85,   0.79,   5.27,   4.98,   1.77
196905,   0.61,   0.74,  -0.70,   1.68,  -1.23
196906,  -6.29,  -7.70,  -1.56,  -5.04, -10.68
196907,  -7.35,  -6.36,  -5.08,  -2.73,  -9.10
196908,   4.99,   4.00,   5.13,   9.30,   9.03
196909,  -0.11,  -4.76,  -1.22,   2.09,  -0.71
196910,   6.16,   4.64,   5.04,   8.98,   7.99
196911,  -3.66,  -4.03,  -0.82,   0.32,  -5.54
196912,  -2.80,  -1.74,  -2.31,   4.30,  -3.75
197001,  -6.18,  -7.94,  -6.99,  -7.12,  -8.83
197002,   5.16,   5.76,   4.61,   5.60,   9.50
197003,   0.98,   0.23,  -0.91,  -5.08,  -1.90
197004,  -9.92,  -8.86, -12.38, -10.11, -13.68
197005,  -7.63,  -4.47,  -7.41,  -7.78,  -8.25
197006,  -3.19,  -4.14, -10.51,  -0.51,  -6.83
197007,   9.14,   7.94,   5.37,   2.16,   8.04
197008,   5.06,   5.20,   5.80,   1.80,   5.12
197009,   5.11,   2.93,   5.89,   8.03,   7.61
197010,  -1.00,  -0.90,  -3.59,   0.26,  -5.89
197011,   6.20,   5.18,   4.79,   2.96,   3.87
197012,   6.37,   6.05,   5.28,   5.37,   8.36
197101,   5.48,   3.65,   7.00,   4.94,   7.81
197102,   3.17,   1.59,  -0.25,   1.39,   2.36
197103,   4.78,   3.40,   5.45,   3.68,   5.97
197104,   5.28,   2.94,   1.81,   4.23,   4.36
197105,  -3.10,  -3.24,  -5.83,  -2.10,  -4.42
197106,  -0.18,   1.21,  -1.10,   2.02,  -1.22
197107,  -3.76,  -3.60,  -6.92,  -2.25,  -3.85
197108,   6.64,   2.60,   3.60,   3.27,   7.02
197109,   0.18,  -0.89,  -0.96,   0.66,  -0.42
197110,  -4.36,  -4.23,  -3.47,  -2.50,  -4.20
197111,   0.08,  -0.72,   1.30,   0.58,  -0.23
197112,   8.85,   9.27,   9.95,   7.90,   8.19
197201,   2.09,   1.74,   5.91,   2.60,   3.33
197202,   3.63,   3.08,   1.34,   7.13,   2.25
197203,   2.10,  -0.17,   0.66,   0.46,   2.34
197204,   0.27,   0.52,   0.21,   1.08,   1.82
197205,   0.30,   2.05,   2.96,   3.52,  -0.63
197206,  -2.67,  -1.79,  -2.59,   2.51,  -4.53
197207,  -2.04,   0.01,   0.91,   3.13,  -2.93
197208,   1.08,   5.50,   3.53,   1.05,   3.61
197209,  -1.36,  -0.73,   0.47,  -0.44,  -1.72
197210,  -0.55,   2.54,  -1.59,   1.51,   1.14
197211,   6.95,   5.10,   3.99,  -0.56,   5.14
197212,   1.29,   0.57,   1.81,   3.74,  -0.72
197301,  -5.20,  -1.27,   0.62,  -1.19,  -7.44
197302,  -5.54,  -3.79,  -3.52,  -0.71,  -6.06
197303,  -3.13,   0.46,  -0.65,   0.78,  -0.26
197304,  -6.59,  -2.80,  -4.26,  -5.49,  -7.75
197305,  -2.84,  -1.65,  -2.00,   1.07,  -4.98
197306,  -3.86,  -0.08,  -0.14,   0.00,  -0.25
197307,   8.56,   3.35,   3.12,   6.87,   9.56
197308,  -3.79,  -2.23,  -3.77,  -6.89,  -2.30
197309,   6.92,   6.37,   0.65,   0.78,   7.23
197310,  -3.38,   1.26,   0.55,   1.83,  -1.02
197311, -16.35, -11.43,  -8.25,  -7.75, -13.45
197312,  -1.83,   3.95,  -1.33,  -4.47,   2.49
197401,   4.92,  -1.65,   1.51,  -2.56,   1.14
197402,  -0.05,  -0.44,   1.32,  -1.23,   1.02
197403,  -1.74,  -1.96,  -3.40,   1.22,  -3.63
197404,  -3.26,  -4.83,  -4.24,  -1.48,  -6.37
197405,  -0.52,  -4.34,  -3.24,  -0.11,  -8.44
197406,  -1.93,  -1.14,  -1.76,  -1.61,  -5.50
197407, -11.56,  -4.19,  -8.00, -14.15,  -6.61
197408, -10.00,  -9.45,  -3.07,  -8.04, -10.62
197409, -12.45,  -9.79, -11.86, -15.56,  -9.62
197410,  10.32,  17.10,  13.09,  29.58,  20.19
197411,  -4.70,  -4.56,  -4.18,  -1.22,  -2.77
197412,  -2.49,  -2.19,  -2.42,  -3.32,  -4.35
197501,  21.77,  12.52,  13.48,  -0.74,  17.89
197502,   4.66,   5.06,   9.77,  16.04,   2.87
197503,   8.16,   1.81,   0.24,   1.29,   4.15
197504,   3.19,   7.26,   2.97,   0.65,   3.27
197505,   4.04,   6.39,   5.00,   6.52,   5.72
197506,   7.40,   5.36,   2.95,   0.95,   5.95
197507,  -5.09,  -5.22,  -7.45, -12.03,  -6.14
197508,  -2.37,  -0.90,  -3.20,  -3.32,  -5.14
197509,  -2.79,  -3.60,  -1.01,  -6.53,  -6.31
197510,   9.85,   3.56,   7.79,  10.68,   3.91
197511,   4.06,   1.61,   4.74,   5.13,   3.58
197512,  -1.69,  -0.46,  -0.82,  -6.36,  -0.26
197601,  11.68,  12.92,  14.92,   7.73,  12.95
197602,   2.24,  -0.50,   2.04,  -6.53,   3.13
197603,   2.47,   2.88,   2.07,   6.53,   1.98
197604,  -1.55,  -0.07,  -1.56,  -4.30,  -1.55
197605,  -3.60,   0.74,  -0.79,  -2.81,  -1.71
197606,   3.17,   4.21,   6.53,   3.67,   5.40
197607,  -0.50,  -0.75,  -0.96,  -0.38,  -0.05
197608,   0.27,  -0.69,   1.22,   2.17,  -1.14
197609,   2.15,   3.06,   2.40,   3.62,   0.90
197610,  -1.25,  -2.59,  -2.33,  -3.74,  -0.43
197611,   1.86,   0.59,   2.23,  -9.71,   2.08
197612,   5.73,   6.11,   3.69,   6.26,   8.41
197701,  -5.05,  -2.82,  -2.32,  -8.84,  -4.18
197702,  -2.21,  -1.90,   0.02,  -0.21,  -1.72
197703,  -2.43,  -0.81,  -0.44,  -1.79,  -0.09
197704,   0.21,   1.44,  -1.81,  -5.21,   2.14
197705,  -1.31,  -1.31,  -0.29,  -1.88,  -0.86
197706,   4.88,   4.70,   5.34,   9.03,   5.30
197707,  -0.41,  -2.16,  -0.45,  -2.24,  -0.39
197708,   1.06,  -3.12,  -0.62,   3.83,  -1.22
197709,   0.39,   0.16,   0.31,  -0.89,  -0.07
197710,  -3.66,  -3.96,  -3.97,  -1.75,  -4.45
197711,   4.02,   4.04,   4.00,   6.08,   6.50
197712,  -0.60,   0.88,   2.29,   0.62,   0.61
197801,  -6.24,  -6.03,  -4.51,  -1.92,  -5.32
197802,   0.04,  -1.67,  -0.43,  -3.00,  -0.15
197803,   4.39,   3.01,   0.73,   4.17,   5.45
197804,   8.90,   7.62,   8.92,   9.25,   9.37
197805,   2.07,   2.44,   0.85,   5.17,   2.61
197806,  -1.56,  -1.74,  -0.82,   1.14,  -0.33
197807,   4.36,   5.48,   5.73,   8.86,   6.61
197808,   4.24,   3.61,   5.07,   0.99,   6.37
197809,  -1.10,   0.31,  -2.14,  -2.75,  -1.27
197810, -12.21, -10.31,  -8.36, -12.84, -14.09
197811,   1.82,   3.93,   4.24,   5.19,   2.52
197812,   0.32,   1.37,   3.90,   3.41,   1.29
197901,   4.92,   5.38,   4.06,   1.42,   6.09
197902,  -3.80,  -2.32,  -2.29,  -4.52,  -3.25
197903,   5.48,   7.06,   4.73,   5.04,   8.17
197904,   1.25,   0.73,  -0.59,   0.43,   1.51
197905,  -1.63,  -1.70,  -1.21,  -2.64,  -0.31
197906,   3.08,   5.74,   1.02,   4.83,   7.03
197907,   1.80,   1.88,  -0.99,   0.15,   3.32
197908,   7.03,   6.73,   4.28,   8.56,   5.82
197909,  -0.84,   1.40,  -1.98,  -0.55,  -0.69
197910,  -8.56,  -5.97,  -6.76,  -4.34, -10.17
197911,   2.51,   6.85,   6.64,   8.77,   7.03
197912,   3.28,   2.75,   0.60,   2.08,   4.19
198001,   4.31,   8.97,   4.04,  -1.29,   5.54
198002,  -5.29,   3.74,  -2.86,  -4.63,  -3.39
198003,  -8.47, -13.79,  -9.30,  -2.82, -12.27
198004,   3.10,   6.13,   3.08,   4.29,   6.06
198005,   7.72,   5.04,   4.89,   6.96,   8.12
198006,   2.76,   4.19,   1.69,   0.22,   5.10
198007,   9.76,   5.12,  10.16,   8.88,   6.90
198008,   1.57,   2.01,   4.55,   0.27,   2.73
198009,   0.78,   4.01,   0.76,   3.62,   3.81
198010,  -0.72,   3.89,   0.23,  -1.24,   1.64
198011,   2.55,  15.54,   6.68,   8.86,   7.71
198012,  -0.32,  -6.26,  -0.62,   4.59,   0.02
198101,   0.33,  -5.92,  -4.26,  -1.61,  -3.23
198102,   3.66,   1.37,   0.99,   1.85,   1.71
198103,   8.65,   1.89,   3.80,   5.90,   8.42
198104,   1.95,  -3.99,   2.00,   3.03,   0.87
198105,   2.76,  -1.49,   5.15,   3.44,   2.84
198106,  -1.73,   1.81,  -5.20,  -5.58,  -1.38
198107,  -2.16,   2.51,  -2.44,  -3.90,  -2.71
198108,  -6.03,  -5.66,  -5.15,  -7.73,  -5.52
198109,  -2.86,  -9.11,  -1.58,  -1.28,  -5.44
198110,   4.06,   6.45,   5.50,   7.95,   7.16
198111,   2.69,   5.77,   1.93,   3.92,   5.05
198112,  -1.26,  -3.85,  -0.55,  -0.73,  -3.79
198201,  -0.05,  -4.99,   1.99,   1.43,  -3.23
198202,  -1.79,  -6.85,  -5.43,  -1.80,  -3.89
198203,   3.29,  -1.79,  -1.61,  -2.55,  -1.31
198204,   5.68,   3.76,   4.66,   7.39,   3.71
198205,  -2.74,  -1.29,  -3.95,  -3.03,  -5.47
198206,   2.25,  -3.89,  -2.40,  -0.75,  -2.42
198207,  -0.21,  -4.39,   1.41,   0.79,  -3.03
198208,  11.47,  12.05,  12.12,  12.37,  11.36
198209,   3.50,   0.36,   1.11,   1.36,   4.18
198210,  14.23,   8.65,  14.01,   8.20,  15.74
198211,   8.05,   1.17,   9.18,   5.20,   7.64
198212,   0.42,   2.98,   1.46,   0.58,  -1.34
198301,   1.45,   4.29,   9.59,   1.42,   2.80
198302,   5.17,   2.07,   2.38,   2.84,   4.56
198303,   5.46,   2.92,   0.66,   4.52,   4.96
198304,   8.28,   6.99,   6.80,   5.05,   8.31
198305,  -0.72,   1.90,   1.62,  -2.73,   2.43
198306,   6.09,   2.75,   4.45,   6.91,   1.68
198307,  -3.23,  -1.75,  -5.31,  -5.68,  -3.66
198308,  -2.19,   2.84,  -0.22,  -1.01,  -0.82
198309,   3.67,   0.41,   2.18,   1.30,   1.58
198310,  -0.71,  -1.09,  -6.47,  -2.18,  -4.06
198311,   3.61,   2.49,   2.57,  -3.01,   4.71
198312,  -1.63,  -0.65,  -0.17,  -3.58,  -0.87
198401,  -3.85,   1.85,  -3.40,  -0.62,  -1.64
198402,  -5.38,  -2.42,  -5.28,  -2.02,  -4.92
198403,   1.12,   1.49,  -0.01,  -0.67,   2.44
198404,   0.69,   1.26,   0.30,   2.32,  -2.04
198405,  -4.31,  -4.56,  -4.97,  -6.45,  -6.87
198406,   5.54,   0.78,   4.79,   3.86,   2.22
198407,   0.14,  -3.13,  -1.21,  -3.76,  -1.82
198408,   9.50,  11.66,  12.17,  10.43,  11.18
198409,   0.42,   0.48,  -2.37,  -4.42,   2.19
198410,   0.82,  -0.45,  -0.57,   1.65,   0.73
198411,  -1.76,  -0.26,  -2.94,  -0.08,  -0.30
198412,   2.48,   1.45,   3.19,   2.74,   3.73
198501,   9.21,   6.48,  10.85,   8.31,   9.82
198502,   2.06,   2.11,  -0.34,   3.59,   2.13
198503,  -0.03,   0.48,  -3.09,   3.07,  -0.16
198504,  -1.68,   0.87,  -2.39,  -1.76,   1.42
198505,   8.05,   4.24,   3.92,   9.45,   6.33
198506,   2.01,   1.37,   0.70,   2.29,   2.97
198507,  -1.84,   0.28,   1.68,  -0.47,  -0.18
198508,  -0.65,   0.31,  -1.66,  -0.82,  -0.49
198509,  -2.69,  -3.62,  -4.57,  -3.92,  -4.96
198510,   4.09,   4.73,   3.32,   3.18,   6.40
198511,   8.69,   4.97,   8.29,   9.74,   7.43
198512,   5.55,   2.73,   7.67,   3.52,   4.49
198601,   1.83,   0.11,  -1.29,   1.06,   3.56
198602,   9.72,   7.17,   5.61,   6.13,   8.38
198603,   8.21,   4.43,   0.97,  12.05,   5.77
198604,  -0.61,  -1.79,   3.52,   0.70,  -2.62
198605,   7.80,   4.82,   2.00,   7.29,   4.66
198606,   3.55,   0.77,  -1.34,   5.64,   1.50
198607,  -8.02,  -3.70,  -6.74,  -5.35,  -6.45
198608,   3.38,   8.93,   6.94,   4.00,   6.84
198609,  -9.28,  -6.04,  -7.82, -12.59,  -8.87
198610,   7.72,   5.12,   1.84,   7.99,   4.22
198611,   2.12,   2.13,   3.68,   1.35,  -0.68
198612,  -4.08,  -1.98,  -3.68,  -1.23,  -2.53
198701,  14.65,  13.01,  12.94,  13.16,  11.10
198702,   6.49,   1.49,   6.64,  11.26,   4.68
198703,   2.26,   4.10,   2.28,   0.15,  -0.33
198704,  -1.27,  -1.83,   2.50,  -2.45,  -4.11
198705,   0.52,   0.52,   1.09,   1.25,  -0.03
198706,   5.52,   4.98,   1.85,   4.78,   4.64
198707,   6.05,   4.14,   2.51,   5.78,   3.59
198708,   4.07,   2.80,   6.71,   2.21,   4.33
198709,  -4.38,  -1.30,  -0.79,  -2.57,  -1.80
198710, -25.00, -20.90, -21.46, -20.45, -23.68
198711,  -8.29,  -5.86,  -9.49,  -9.30,  -6.60
198712,   8.15,   7.25,   8.98,   5.36,   5.39
198801,   4.23,   4.49,   1.88,   6.37,   6.33
198802,   7.49,   4.41,   5.11,   4.19,   4.32
198803,  -2.07,  -0.80,  -4.42,  -2.56,  -1.34
198804,   1.21,   1.93,   1.93,  -2.00,  -0.36
198805,  -0.29,   0.48,  -0.01,  -0.25,   0.94
198806,   5.72,   4.07,   7.03,   2.67,   6.03
198807,   0.25,  -0.52,  -2.95,   0.55,  -0.61
198808,  -2.29,  -2.77,  -5.96,  -1.06,  -0.88
198809,   6.68,   1.84,   4.69,   3.80,   4.13
198810,   4.88,   1.41,   1.31,   1.20,   0.01
198811,  -1.68,  -1.34,  -1.70,  -2.15,  -2.17
198812,   2.24,   2.34,   3.20,   1.81,   0.91
198901,   6.23,   6.11,   7.67,   6.79,   6.84
198902,  -1.87,  -1.85,  -2.67,  -1.16,  -0.48
198903,   3.29,   1.69,  -0.55,   4.93,   3.54
198904,   4.72,   4.37,   7.37,   5.42,   4.61
198905,   4.80,   3.78,   4.16,   3.41,   4.24
198906,   0.10,  -0.96,  -1.53,  -2.75,   0.79
198907,   9.72,   6.31,   6.23,  13.90,   8.16
198908,   0.94,   3.01,   1.58,   0.39,   3.22
198909,  -1.94,  -1.02,   0.97,   2.42,   1.39
198910,  -3.61,  -1.98,  -3.05,   0.38,  -4.87
198911,   1.05,   3.32,   0.41,   4.57,  -0.08
198912,   0.84,   4.13,   2.89,   1.04,  -1.60
199001,  -7.47,  -5.60,  -8.25,  -7.31,  -9.00
199002,   1.25,   2.15,   1.65,  -2.08,   2.51
199003,   4.55,   1.71,   4.35,   3.84,  -0.38
199004,  -1.51,  -3.56,  -2.71,   0.30,  -3.42
199005,   9.84,   6.99,  10.73,  12.80,   9.17
199006,   1.24,  -0.67,  -3.09,   4.42,  -1.72
199007,  -2.49,   2.39,  -5.85,   2.58,  -3.57
199008, -10.14,  -8.00, -11.19,  -6.78, -11.32
199009,  -6.69,  -4.32,  -2.22,  -4.37, -10.07
199010,  -0.29,  -0.44,   0.08,   1.41,  -6.43
199011,   7.67,   4.50,   6.16,   9.49,  10.65
199012,   3.45,   1.99,   2.71,   2.79,   5.50
199101,   6.93,   2.31,   7.07,   4.55,   7.47
199102,   9.54,   6.32,   4.95,   9.90,   9.74
199103,   5.84,   1.43,   1.70,   5.44,   3.07
199104,   0.02,   0.91,  -0.95,  -1.14,   1.34
199105,   6.38,   3.55,   1.07,   4.70,   4.99
199106,  -4.63,  -3.71,  -5.29,  -4.21,  -5.24
199107,   4.89,   3.80,   3.89,   8.51,   4.73
199108,   3.91,   2.16,   1.78,   2.94,   3.19
199109,  -3.15,  -0.57,  -0.50,  -0.33,  -0.65
199110,  -1.26,   1.56,   1.95,   6.53,   2.27
199111,  -1.47,  -4.39,  -4.56,  -2.52,  -5.41
199112,  13.39,   7.64,   9.53,  16.61,  12.75
199201,  -0.56,  -0.82,   2.00,  -5.45,   2.00
199202,   2.78,   0.79,   1.38,  -2.73,   3.08
199203,  -1.21,  -1.37,  -3.20,  -5.53,  -2.16
199204,  -0.18,   4.37,   2.71,  -2.30,   0.58
199205,   0.52,   0.94,  -1.18,   1.11,   1.48
199206,  -1.88,  -2.46,  -1.56,  -4.78,  -0.05
199207,   3.79,   4.36,   4.17,   5.80,   3.11
199208,  -0.93,  -1.41,  -2.77,  -3.36,  -3.47
199209,   2.16,   1.17,   2.65,  -4.98,   3.43
199210,   1.36,  -0.42,   0.79,   3.34,   2.97
199211,   5.57,   1.43,   5.15,   4.84,   6.12
199212,   0.66,   1.82,   2.75,  -1.35,   3.82
199301,   0.71,   1.25,   3.10,  -6.86,   3.37
199302,  -1.64,   3.75,   2.63,  -9.00,   0.37
199303,   1.82,   2.51,   2.75,   0.73,   3.79
199304,  -7.34,   0.24,  -3.30,   1.29,  -3.27
199305,   3.81,   1.63,   6.46,   3.59,   1.64
199306,  -1.06,   0.36,   2.09,  -2.96,   2.29
199307,  -0.49,   0.54,  -0.88,  -5.99,   2.06
199308,   3.56,   3.69,   5.83,   3.02,   3.46
199309,  -0.79,  -0.84,   0.40,   0.86,   1.79
199310,   5.75,   0.65,   2.02,   5.92,  -2.36
199311,   0.64,  -2.01,  -3.03,   0.97,  -2.83
199312,   0.51,   2.56,   1.25,   2.33,   2.53
199401,   1.41,   3.45,   3.47,   1.81,   4.37
199402,  -0.50,  -2.11,  -1.75,  -5.60,  -3.87
199403,  -4.76,  -4.15,  -3.77,  -6.74,  -4.23
199404,   0.52,   1.40,  -0.15,   2.27,   1.35
199405,  -1.75,   0.18,   1.83,   4.28,   3.04
199406,  -2.44,  -2.73,  -2.53,  -3.43,  -2.56
199407,   2.19,   4.40,   3.49,   1.10,   2.70
199408,   4.43,   2.83,   5.41,  10.85,   3.51
199409,  -1.90,  -1.98,  -0.78,   1.72,  -4.25
199410,   1.25,   2.27,   3.98,   0.88,   0.05
199411,  -2.89,  -4.22,  -3.54,   0.44,  -5.17
199412,  -0.05,   2.13,   1.79,   0.57,   1.41
199501,   0.62,   1.06,   1.25,   6.18,   4.71
199502,   3.14,   4.37,   4.52,   2.26,   4.85
